"","X1","X2","value","condition"
"88","X24","OLIGODENDROCYTE",0.0916932768986094,"SKA2_KD_week4"
"89","X25","OLIGODENDROCYTE",0.0660276800925364,"SKA2_KD_week4"
"90","X26","OLIGODENDROCYTE",0.0651958222786855,"SKA2_KD_week4"
"91","X27","OLIGODENDROCYTE",0.0526986409714222,"SCR_week4"
"92","X28","OLIGODENDROCYTE",0.0598366968929995,"SCR_week4"
"93","X29","OLIGODENDROCYTE",0.0531699664014939,"SCR_week4"
"94","X30","OLIGODENDROCYTE",0.0848785779471796,"SKA2_KD_week4"
"95","X31","OLIGODENDROCYTE",0.0639191481292714,"SCR_week4"
"96","X32","OLIGODENDROCYTE",0.0531809793402834,"SCR_week4"
"97","X1","ENDOTHELIAL",0.0449059010057144,"SKA2_KD_week2"
"98","X2","ENDOTHELIAL",0.0385276157206486,"SKA2_KD_week2"
"99","X3","ENDOTHELIAL",0.0359990702307664,"SKA2_KD_week2"
"100","X4","ENDOTHELIAL",0.0238806173522406,"SCR_week2"
"101","X5","ENDOTHELIAL",0.0256775836767359,"SCR_week2"
"102","X6","ENDOTHELIAL",0.0213742547483266,"SCR_week2"
"103","X7","ENDOTHELIAL",0.0389859161549207,"SKA2_KD_week2"
"104","X8","ENDOTHELIAL",0.0323154481919149,"SKA2_KD_week2"
"105","X9","ENDOTHELIAL",0.0267279651201158,"SCR_week2"
"106","X10","ENDOTHELIAL",0.0319830638061876,"SCR_week2"
"107","X11","ENDOTHELIAL",0.0273459639349817,"SCR_week2"
"108","X12","ENDOTHELIAL",0.0403133480307814,"SKA2_KD_week2"
"109","X13","ENDOTHELIAL",0.0452571850251467,"SKA2_KD_week2"
"110","X14","ENDOTHELIAL",0.0258884194649863,"SCR_week2"
"111","X15","ENDOTHELIAL",0.0304749489749587,"SKA2_KD_week2"
"112","X16","ENDOTHELIAL",0.0245600078374724,"SCR_week2"
"113","X17","ENDOTHELIAL",0.0291810794008144,"SCR_week4"
"114","X18","ENDOTHELIAL",0.0397534085561431,"SKA2_KD_week4"
"115","X19","ENDOTHELIAL",0.0408891181372069,"SKA2_KD_week4"
"116","X20","ENDOTHELIAL",0.0492149199814731,"SKA2_KD_week4"
"117","X21","ENDOTHELIAL",0.0285745560912935,"SCR_week4"
"118","X22","ENDOTHELIAL",0.0502626627338485,"SKA2_KD_week4"
"119","X23","ENDOTHELIAL",0.0310762562278953,"SCR_week4"
"120","X24","ENDOTHELIAL",0.0477804147611316,"SKA2_KD_week4"
"121","X25","ENDOTHELIAL",0.045114786159599,"SKA2_KD_week4"
"122","X26","ENDOTHELIAL",0.0440035404497569,"SKA2_KD_week4"
"123","X27","ENDOTHELIAL",0.0353718372438387,"SCR_week4"
"124","X28","ENDOTHELIAL",0.0328582291008817,"SCR_week4"
"125","X29","ENDOTHELIAL",0.0309936848800678,"SCR_week4"
"126","X30","ENDOTHELIAL",0.0368686192832011,"SKA2_KD_week4"
"127","X31","ENDOTHELIAL",0.0328771066575852,"SCR_week4"
"128","X32","ENDOTHELIAL",0.0292630383977609,"SCR_week4"
"129","X1","NEUROGENESIS",0.0001395071883134,"SKA2_KD_week2"
"130","X2","NEUROGENESIS",0.00143019445955695,"SKA2_KD_week2"
"131","X3","NEUROGENESIS",0,"SKA2_KD_week2"
"132","X4","NEUROGENESIS",0,"SCR_week2"
"133","X5","NEUROGENESIS",0,"SCR_week2"
"134","X6","NEUROGENESIS",0,"SCR_week2"
"135","X7","NEUROGENESIS",0.000901898150890933,"SKA2_KD_week2"
"136","X8","NEUROGENESIS",0,"SKA2_KD_week2"
"137","X9","NEUROGENESIS",0,"SCR_week2"
"138","X10","NEUROGENESIS",0,"SCR_week2"
"139","X11","NEUROGENESIS",0,"SCR_week2"
"140","X12","NEUROGENESIS",0,"SKA2_KD_week2"
"141","X13","NEUROGENESIS",0,"SKA2_KD_week2"
"142","X14","NEUROGENESIS",0,"SCR_week2"
"143","X15","NEUROGENESIS",0,"SKA2_KD_week2"
"144","X16","NEUROGENESIS",0,"SCR_week2"
"145","X17","NEUROGENESIS",0,"SCR_week4"
"146","X18","NEUROGENESIS",0,"SKA2_KD_week4"
"147","X19","NEUROGENESIS",0,"SKA2_KD_week4"
"148","X20","NEUROGENESIS",0,"SKA2_KD_week4"
"149","X21","NEUROGENESIS",0,"SCR_week4"
"150","X22","NEUROGENESIS",0,"SKA2_KD_week4"
"151","X23","NEUROGENESIS",0,"SCR_week4"
"152","X24","NEUROGENESIS",0,"SKA2_KD_week4"
"153","X25","NEUROGENESIS",0,"SKA2_KD_week4"
"154","X26","NEUROGENESIS",0,"SKA2_KD_week4"
"155","X27","NEUROGENESIS",0,"SCR_week4"
"156","X28","NEUROGENESIS",0,"SCR_week4"
"157","X29","NEUROGENESIS",0,"SCR_week4"
"158","X30","NEUROGENESIS",0,"SKA2_KD_week4"
"159","X31","NEUROGENESIS",0,"SCR_week4"
"160","X32","NEUROGENESIS",0,"SCR_week4"
"161","X1","ASTROCYTE",0.0598445212868628,"SKA2_KD_week2"
"162","X2","ASTROCYTE",0.0571581100581312,"SKA2_KD_week2"
"163","X3","ASTROCYTE",0.11821020952273,"SKA2_KD_week2"
"164","X4","ASTROCYTE",0.14825776723941,"SCR_week2"
"165","X5","ASTROCYTE",0.16563890896913,"SCR_week2"
"166","X6","ASTROCYTE",0.149301605138851,"SCR_week2"
"167","X7","ASTROCYTE",0.0731433663924237,"SKA2_KD_week2"
"168","X8","ASTROCYTE",0.108156619772187,"SKA2_KD_week2"
"169","X9","ASTROCYTE",0.166480168804958,"SCR_week2"
"170","X10","ASTROCYTE",0.167755361513159,"SCR_week2"
"171","X11","ASTROCYTE",0.168230549535443,"SCR_week2"
"172","X12","ASTROCYTE",0.102109546002132,"SKA2_KD_week2"
"173","X13","ASTROCYTE",0.105588142093238,"SKA2_KD_week2"
"174","X14","ASTROCYTE",0.160019179748111,"SCR_week2"
"175","X15","ASTROCYTE",0.137164505787436,"SKA2_KD_week2"
"176","X16","ASTROCYTE",0.139766993868203,"SCR_week2"
"177","X17","ASTROCYTE",0.170388021523922,"SCR_week4"
"178","X18","ASTROCYTE",0.127194976458213,"SKA2_KD_week4"
"179","X19","ASTROCYTE",0.134433282081807,"SKA2_KD_week4"
"180","X20","ASTROCYTE",0.141742494534678,"SKA2_KD_week4"
"181","X21","ASTROCYTE",0.162822134328652,"SCR_week4"
"182","X22","ASTROCYTE",0.126565534115048,"SKA2_KD_week4"
"183","X23","ASTROCYTE",0.179601993073718,"SCR_week4"
"184","X24","ASTROCYTE",0.129016913525324,"SKA2_KD_week4"
"185","X25","ASTROCYTE",0.129729872939793,"SKA2_KD_week4"
"186","X26","ASTROCYTE",0.0821089575716306,"SKA2_KD_week4"
"187","X27","ASTROCYTE",0.141551182510948,"SCR_week4"
"188","X28","ASTROCYTE",0.169193967510743,"SCR_week4"
"189","X29","ASTROCYTE",0.151849549448804,"SCR_week4"
"190","X30","ASTROCYTE",0.167129165385722,"SKA2_KD_week4"
"191","X31","ASTROCYTE",0.142718506211148,"SCR_week4"
"192","X32","ASTROCYTE",0.158561628803469,"SCR_week4"
"193","X1","POLYDENDROCYTE",0.136632910601831,"SKA2_KD_week2"
"194","X2","POLYDENDROCYTE",0.125823696896853,"SKA2_KD_week2"
"195","X3","POLYDENDROCYTE",0.0891237336026525,"SKA2_KD_week2"
"196","X4","POLYDENDROCYTE",0.0348292681824219,"SCR_week2"
"197","X5","POLYDENDROCYTE",0.0509007831174895,"SCR_week2"
"198","X6","POLYDENDROCYTE",0.0359035173413324,"SCR_week2"
"199","X7","POLYDENDROCYTE",0.122613183800631,"SKA2_KD_week2"
"200","X8","POLYDENDROCYTE",0.0843370896651675,"SKA2_KD_week2"
"201","X9","POLYDENDROCYTE",0.0560927507364509,"SCR_week2"
"202","X10","POLYDENDROCYTE",0.0811668405336957,"SCR_week2"
"203","X11","POLYDENDROCYTE",0.0668289852196924,"SCR_week2"
"204","X12","POLYDENDROCYTE",0.115437190763316,"SKA2_KD_week2"
"205","X13","POLYDENDROCYTE",0.127449730603768,"SKA2_KD_week2"
"206","X14","POLYDENDROCYTE",0.0591946142449117,"SCR_week2"
"207","X15","POLYDENDROCYTE",0.0501810059102929,"SKA2_KD_week2"
"208","X16","POLYDENDROCYTE",0.0775738728442393,"SCR_week2"
"209","X17","POLYDENDROCYTE",0.104186694394527,"SCR_week4"
"210","X18","POLYDENDROCYTE",0.0902000846442508,"SKA2_KD_week4"
"211","X19","POLYDENDROCYTE",0.0870493810246075,"SKA2_KD_week4"
"212","X20","POLYDENDROCYTE",0.100949045438189,"SKA2_KD_week4"
"213","X21","POLYDENDROCYTE",0.095384716015432,"SCR_week4"
"214","X22","POLYDENDROCYTE",0.0951790489648203,"SKA2_KD_week4"
"215","X23","POLYDENDROCYTE",0.103120798934975,"SCR_week4"
"216","X24","POLYDENDROCYTE",0.102836097716815,"SKA2_KD_week4"
"217","X25","POLYDENDROCYTE",0.108124561066054,"SKA2_KD_week4"
"218","X26","POLYDENDROCYTE",0.0914782235427554,"SKA2_KD_week4"
"219","X27","POLYDENDROCYTE",0.109482611352103,"SCR_week4"
"220","X28","POLYDENDROCYTE",0.102567613067643,"SCR_week4"
"221","X29","POLYDENDROCYTE",0.0943041102136021,"SCR_week4"
"222","X30","POLYDENDROCYTE",0.0961485561468425,"SKA2_KD_week4"
"223","X31","POLYDENDROCYTE",0.108772830543523,"SCR_week4"
"224","X32","POLYDENDROCYTE",0.0902261102197605,"SCR_week4"
"225","X1","MURAL",0.00224119972496654,"SKA2_KD_week2"
"226","X2","MURAL",0.0214060418716522,"SKA2_KD_week2"
"227","X3","MURAL",0.00407758031056666,"SKA2_KD_week2"
"228","X4","MURAL",0,"SCR_week2"
"229","X5","MURAL",0.00321559257605766,"SCR_week2"
"230","X6","MURAL",0,"SCR_week2"
"231","X7","MURAL",0.015323424071717,"SKA2_KD_week2"
"232","X8","MURAL",0.00641009216963293,"SKA2_KD_week2"
"233","X9","MURAL",0.0049042571912122,"SCR_week2"
"234","X10","MURAL",0.00409621018330779,"SCR_week2"
"235","X11","MURAL",0.00320750015223125,"SCR_week2"
"236","X12","MURAL",0.00826192376087457,"SKA2_KD_week2"
"237","X13","MURAL",0.00847614806252098,"SKA2_KD_week2"
"238","X14","MURAL",0.00384053515508108,"SCR_week2"
"239","X15","MURAL",0.00515811751494305,"SKA2_KD_week2"
"240","X16","MURAL",0.0065253905927115,"SCR_week2"
"241","X17","MURAL",0.00681329009676629,"SCR_week4"
"242","X18","MURAL",0.0061478102942632,"SKA2_KD_week4"
"243","X19","MURAL",0.00646178900795858,"SKA2_KD_week4"
"244","X20","MURAL",0.00834789207082713,"SKA2_KD_week4"
"245","X21","MURAL",0.00590537466373472,"SCR_week4"
"246","X22","MURAL",0.00961554980501567,"SKA2_KD_week4"
"247","X23","MURAL",0.00800383117178435,"SCR_week4"
"248","X24","MURAL",0.010280806725397,"SKA2_KD_week4"
"249","X25","MURAL",0.00937697214125776,"SKA2_KD_week4"
"250","X26","MURAL",0.00809811824471756,"SKA2_KD_week4"
"251","X27","MURAL",0.00789405493507441,"SCR_week4"
"252","X28","MURAL",0.00853601089535186,"SCR_week4"
"253","X29","MURAL",0.00817860052223799,"SCR_week4"
"254","X30","MURAL",0.00653412686685708,"SKA2_KD_week4"
"255","X31","MURAL",0.00969238095203656,"SCR_week4"
"256","X32","MURAL",0.00678388075467828,"SCR_week4"
"257","X1","FIBROBLAST",0.0395925091434157,"SKA2_KD_week2"
"258","X2","FIBROBLAST",0.0415632523080817,"SKA2_KD_week2"
"259","X3","FIBROBLAST",0.0259510562457108,"SKA2_KD_week2"
"260","X4","FIBROBLAST",0.00287895756075976,"SCR_week2"
"261","X5","FIBROBLAST",0.0105641785014126,"SCR_week2"
"262","X6","FIBROBLAST",0.0026155222009359,"SCR_week2"
"263","X7","FIBROBLAST",0.028758095966855,"SKA2_KD_week2"
"264","X8","FIBROBLAST",0.0249019001933269,"SKA2_KD_week2"
"265","X9","FIBROBLAST",0.0187949593353028,"SCR_week2"
"266","X10","FIBROBLAST",0.0169071967649469,"SCR_week2"
"267","X11","FIBROBLAST",0.0138236245611943,"SCR_week2"
"268","X12","FIBROBLAST",0.0392454673148739,"SKA2_KD_week2"
"269","X13","FIBROBLAST",0.0374126515389146,"SKA2_KD_week2"
"270","X14","FIBROBLAST",0.0118330586847675,"SCR_week2"
"271","X15","FIBROBLAST",0.0169802238490108,"SKA2_KD_week2"
"272","X16","FIBROBLAST",0.0222131451822511,"SCR_week2"
"273","X17","FIBROBLAST",0.0246838108784188,"SCR_week4"
"274","X18","FIBROBLAST",0.0601145376634729,"SKA2_KD_week4"
"275","X19","FIBROBLAST",0.0693230002475496,"SKA2_KD_week4"
"276","X20","FIBROBLAST",0.0750720004463908,"SKA2_KD_week4"
"277","X21","FIBROBLAST",0.0223294199827712,"SCR_week4"
"278","X22","FIBROBLAST",0.0834102390994042,"SKA2_KD_week4"
"279","X23","FIBROBLAST",0.0250118895659952,"SCR_week4"
"280","X24","FIBROBLAST",0.0738320150921269,"SKA2_KD_week4"
"281","X25","FIBROBLAST",0.0729033927394914,"SKA2_KD_week4"
"282","X26","FIBROBLAST",0.0780677431749426,"SKA2_KD_week4"
"283","X27","FIBROBLAST",0.0280913952652089,"SCR_week4"
"284","X28","FIBROBLAST",0.0257359249856147,"SCR_week4"
"285","X29","FIBROBLAST",0.0256594532656317,"SCR_week4"
"286","X30","FIBROBLAST",0.0363410427035434,"SKA2_KD_week4"
"287","X31","FIBROBLAST",0.0269408516253583,"SCR_week4"
"288","X32","FIBROBLAST",0.0248607482725491,"SCR_week4"
"289","X1","MICROGLIA",0.390230401183431,"SKA2_KD_week2"
"290","X2","MICROGLIA",0.166412770377516,"SKA2_KD_week2"
"291","X3","MICROGLIA",0.181702011557149,"SKA2_KD_week2"
"292","X4","MICROGLIA",0.0403617788057102,"SCR_week2"
"293","X5","MICROGLIA",0.0750118711104004,"SCR_week2"
"294","X6","MICROGLIA",0.0642294575067866,"SCR_week2"
"295","X7","MICROGLIA",0.291010024528477,"SKA2_KD_week2"
"296","X8","MICROGLIA",0.152691725548532,"SKA2_KD_week2"
"297","X9","MICROGLIA",0.0857071321004681,"SCR_week2"
"298","X10","MICROGLIA",0.0710945312540051,"SCR_week2"
"299","X11","MICROGLIA",0.0750295855522865,"SCR_week2"
"300","X12","MICROGLIA",0.182541214722868,"SKA2_KD_week2"
"301","X13","MICROGLIA",0.201198021779186,"SKA2_KD_week2"
"302","X14","MICROGLIA",0.0698479572305265,"SCR_week2"
"303","X15","MICROGLIA",0.109052678658842,"SKA2_KD_week2"
"304","X16","MICROGLIA",0.0669077521456802,"SCR_week2"
"305","X17","MICROGLIA",0.154781744275674,"SCR_week4"
"306","X18","MICROGLIA",0.426173171654801,"SKA2_KD_week4"
"307","X19","MICROGLIA",0.435287288643223,"SKA2_KD_week4"
"308","X20","MICROGLIA",0.402003125316398,"SKA2_KD_week4"
"309","X21","MICROGLIA",0.174786035085305,"SCR_week4"
"310","X22","MICROGLIA",0.428646439874672,"SKA2_KD_week4"
"311","X23","MICROGLIA",0.18073660905004,"SCR_week4"
"312","X24","MICROGLIA",0.414741404100121,"SKA2_KD_week4"
"313","X25","MICROGLIA",0.396042526116704,"SKA2_KD_week4"
"314","X26","MICROGLIA",0.539208458699691,"SKA2_KD_week4"
"315","X27","MICROGLIA",0.263000265704159,"SCR_week4"
"316","X28","MICROGLIA",0.130936635408073,"SCR_week4"
"317","X29","MICROGLIA",0.189255620707358,"SCR_week4"
"318","X30","MICROGLIA",0.291521217708642,"SKA2_KD_week4"
"319","X31","MICROGLIA",0.121349636226831,"SCR_week4"
"320","X32","MICROGLIA",0.155670583263182,"SCR_week4"
